File,,Binary Conversion(%Of-File),Binary Conversion(%Of-Feature),Binary Conversion(#Propagations),Power(%Of-File),Power(%Of-Feature),Power(#Propagations),Basic Operations(%Of-File),Basic Operations(%Of-Feature),Basic Operations(#Propagations),Sin(%Of-File),Sin(%Of-Feature),Sin(#Propagations),Log10(%Of-File),Log10(%Of-Feature),Log10(#Propagations),Square Root(%Of-File),Square Root(%Of-Feature),Square Root(#Propagations),Subtraction(%Of-File),Subtraction(%Of-Feature),Subtraction(#Propagations),Absolute Value(%Of-File),Absolute Value(%Of-Feature),Absolute Value(#Propagations),Natural Logarithm(%Of-File),Natural Logarithm(%Of-Feature),Natural Logarithm(#Propagations),Tan(%Of-File),Tan(%Of-Feature),Tan(#Propagations),Addition(%Of-File),Addition(%Of-Feature),Addition(#Propagations),Square(%Of-File),Square(%Of-Feature),Square(#Propagations),Functions(%Of-File),Functions(%Of-Feature),Functions(#Propagations),Multiplication(%Of-File),Multiplication(%Of-Feature),Multiplication(#Propagations),Trigonometric Functions(%Of-File),Trigonometric Functions(%Of-Feature),Trigonometric Functions(#Propagations),Cos(%Of-File),Cos(%Of-Feature),Cos(#Propagations),Division(%Of-File),Division(%Of-Feature),Division(#Propagations),Advanced Math(%Of-File),Advanced Math(%Of-Feature),Advanced Math(#Propagations),Logarithmic Functions(%Of-File),Logarithmic Functions(%Of-Feature),Logarithmic Functions(#Propagations),Reciprocal(%Of-File),Reciprocal(%Of-Feature),Reciprocal(#Propagations)
src\simplejavacalculator\Calculator.java,,2.5416548997458346,33.33333333333333,1,2.5416548997458346,50,1,0,0,0,2.9652640497034737,50,1,2.4286924597571304,50,1,2.767579779723242,50,1,2.343970629765603,50,1,2.4851736797514827,100,1,2.343970629765603,50,1,8.246258119175375,50,1,4.37729454956227,50,1,2.4569330697543066,50,1,0,0,0,2.4286924597571304,50,1,0,0,0,2.937023439706298,50,1,2.4286924597571304,50,1,0,0,0,0,0,0,2.5981361197401864,50,1
src\simplejavacalculator\UI.java,,0.4494596920722961,66.66666666666666,2,0.2677632208090274,50,1,0,0,0,0.2103853877785216,50,1,0.2103853877785216,50,1,0.27732619298077843,50,1,0.22951133212202354,50,1,0,0,0,0.20082241560677058,50,1,0.2103853877785216,50,1,0.2103853877785216,50,1,0.23907430429377452,50,1,0,0,0,0.2582002486372764,50,1,0,0,0,0.2103853877785216,50,1,0.2582002486372764,50,1,0,0,0,0,0,0,0.2964521373242804,50,1
